Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 100,Kamil,,,Bible. Gospels,Old Collection,delivery 1
Sinai Arabic 123,Kamil,,,Evangelion,Old Collection,delivery 1
Sinai Arabic 131,Kamil,,,Evangelion,Old Collection,delivery 1
Sinai Arabic 14,Kamil,,,Prophetologion,Old Collection,delivery 1
Sinai Arabic 145,Kamil,,,,Old Collection,delivery 1
Sinai Arabic 148,Kamil,,,Lectionary,Old Collection,delivery 1
Sinai Arabic 151,Kamil,,,Bible. Epistles|~|Bible. Acts,Old Collection,delivery 1
Sinai Arabic 153,Kamil,,Martyrdoms and Lives of Saints,,Old Collection,delivery 1
Sinai Arabic 161,Kamil,,,Bible. Epistles of Paul,Old Collection,delivery 1
Sinai Arabic 165,Kamil,,,Bible. Epistles,Old Collection,delivery 1
Sinai Arabic 167,Kamil,,,Bible. Epistles of Paul,Old Collection,delivery 1
Sinai Arabic 177,Kamil,,,Lectionary,Old Collection,delivery 1
Sinai Arabic 196,Kamil,,,Horologion,Old Collection,delivery 1
Sinai Arabic 197,Kamil,,,Horologion,Old Collection,delivery 1
Sinai Arabic 198,Kamil,,,Horologion,Old Collection,delivery 1
Sinai Arabic 222,Kamil,,,Liturgy of Saint John Chrysostom|~|Liturgy of Saint Basil,Old Collection,delivery 1
Sinai Arabic 224,Kamil,,"Consecration of Deacons, Arabic and Greek",,Old Collection,delivery 1
Sinai Arabic 233,Kamil,,"Vigils of Nativity and Epiphany, Prayers and Canons",Horologion,Old Collection,delivery 1
Sinai Arabic 246,Kamil,,Life of Mary the Egyptian,,Old Collection,delivery 1
Sinai Arabic 247,Kamil,,Canons,Kontakarion|~|Lectionary,Old Collection,delivery 1
Sinai Arabic 249,Kamil,,Canons and Hymns for the feast of St. Catherine,Troparion,Old Collection,delivery 1
Sinai Arabic 254,Kamil,,,Troparion,Old Collection,delivery 1
Sinai Arabic 259,Kamil,,,Euchologion,Old Collection,delivery 1
Sinai Arabic 27,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 1
Sinai Arabic 270,Kamil,,Ascetica ; Commentary ; Mimars,"Basil, Saint, Bishop of Caesarea, approximately 329-379. Hexaemeron",Old Collection,delivery 1
Sinai Arabic 272,Kamil,,Commentary on the Liturgy of St. Basil,,Old Collection,delivery 1
Sinai Arabic 277,Kamil,,Five Mimars by St. Gregory the Theologian,,Old Collection,delivery 1
Sinai Arabic 288,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 1
Sinai Arabic 29,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 298,Kamil,,Commentary on the Epistle to the Romans by St. John Chrysostom,,Old Collection,delivery 1
Sinai Arabic 3,Kamil,,,Bible. Pentateuch|~|Bible. Old Testament,Old Collection,delivery 1
Sinai Arabic 319,Kamil,,Works of St. John Damascene,,Old Collection,delivery 1
Sinai Arabic 327,Kamil,,Miscellaneous treatises,,Old Collection,delivery 1
Sinai Arabic 328,Kamil,,Miscellaneous treatises ; Mimars,,Old Collection,delivery 1
Sinai Arabic 337,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 1
Sinai Arabic 345,Kamil,,Mimars and Discourses,,Old Collection,delivery 1
Sinai Arabic 346,Kamil,,Mimars ; Martyrdoms,,Old Collection,delivery 1
Sinai Arabic 351,Kamil,,Mimars and Varia,Bible. Chronicles,Old Collection,delivery 1
Sinai Arabic 352,Kamil,,"Mimars, Martyrdoms, and other Treatises",,Old Collection,delivery 1
Sinai Arabic 37,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 370,Kamil,,Epistle of Antiochus to Anastasius ; Sayings of Barsanuphius,,Old Collection,delivery 1
Sinai Arabic 378,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 1
Sinai Arabic 379,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 1
Sinai Arabic 382,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 1
Sinai Arabic 413,Kamil,,,Synaxarion,Old Collection,delivery 1
Sinai Arabic 414,Kamil,,,Synaxarion,Old Collection,delivery 1
Sinai Arabic 425,Kamil,,,Kontakarion,Old Collection,delivery 1
Sinai Arabic 434,Kamil,,"Mimars, Apophthegmata, Sermons, Commentaries and Theological Discourses",,Old Collection,delivery 1
Sinai Arabic 435,Kamil,,Mimars,,Old Collection,delivery 1
Sinai Arabic 449,Kamil,,,"Liturgy of Saint Basil|~|John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 1
Sinai Arabic 450,Kamil,,Apophthegmata ; Mimars by SS. John Chrysostom and Dorotheus,Evangelion,Old Collection,delivery 1
Sinai Arabic 451,Kamil,,Mimars ; Epistles ; Sermons,,Old Collection,delivery 1
Sinai Arabic 469,Kamil,,"Mimars, Apophthegmata, and other Theological works",,Old Collection,delivery 1
Sinai Arabic 472,Kamil,,Hayākil al-nūr by Shihab al-Din ; The Life of St. Pantaleon ; Prayers,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 1
Sinai Arabic 473,Kamil,,Lives of Saints,Bible. Epistles,Old Collection,delivery 1
Sinai Arabic 487,Kamil,,Lives of Saints ; Prayers,,Old Collection,delivery 1
Sinai Arabic 494,Kamil,,Forty-three theological discourses known as the Book of the Master and the Pupil written by St. Thaddeus of Edessa,,Old Collection,delivery 1
Sinai Arabic 499,Kamil,,Book of the Master and the Pupil by St. Thaddeus of Edessa,,Old Collection,delivery 1
Sinai Arabic 501,Kamil,,Prayers and Varia,,Old Collection,delivery 1
Sinai Arabic 57,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 1
Sinai Arabic 582,Kamil,,A Universal History,,Old Collection,delivery 1
Sinai Arabic 60,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 1
Sinai Arabic 602,Kamil,,,Prophetologion,Old Collection,delivery 1
Sinai Arabic 624,Kamil,,Prayers,Liturgy of Saint John Chrysostom,Old Collection,delivery 1
Sinai Arabic 628,LOC,,,Bible. Gospels,Old Collection,delivery 1
Sinai Arabic 65,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 67,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 7,Kamil,,,Bible. Chronicles,Old Collection,delivery 1
Sinai Arabic 9,Kamil,,,Bible. Old Testament,Old Collection,delivery 1
Sinai Syriac 126,Kamil,,,Anthologion,Old Collection,delivery 1
Sinai Syriac 127,Kamil,,Services,,Old Collection,delivery 1
Sinai Syriac 129,Kamil,,,Typikon,Old Collection,delivery 1
Sinai Syriac 190,Kamil,,,Triodion,Old Collection,delivery 1
Sinai Syriac 202,Kamil,,Services,,Old Collection,delivery 1
Sinai Syriac 208,Kamil,,,Octoechos,Old Collection,delivery 1