Title,Item ARK,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Format,Format.dimensions,Support,Language,AltIdentifier.local,delivery,Comments,User Comments
Sinai Arabic 20,,Work,1201/1300,13th c.,230ff.,617.9 g,codex,165 x 120 x 69.0 mm,Parchment,Arabic,Sinai Arabic 20,6.1,No front board / No back board / 163AB / NO 173,
Sinai Arabic 21,,Work,1001/1100,11th c.,197ff.,610.5 g,codex,150 x 117 x 75.0 mm,Parchment,Arabic,Sinai Arabic 21,6.1,24AB / 62AB,
Sinai Arabic 41,,Work,1201/1300,13th c.,201ff.,382.1 g,codex,152 x 125 x 55.0 mm,Paper,Arabic,Sinai Arabic 41,6.1,NO 17 / 18AB / NO 202 / glued together: 46v-47r,z_998 / z_999
Sinai Arabic 51,,Work,1201/1300,13th c.,136ff.,723.7 g,codex,179 x 140 x 70.0 mm,Paper,Arabic,Sinai Arabic 51,6.1,,
Sinai Arabic 62,,Work,1312,1312,215ff.,442.4 g,codex,145 x 112 x 72.0 mm,Paper,Arabic,Sinai Arabic 62,6.1,No front cover/ glued together: 196v  197r / 131AB,f.48 written as f.18 /  f.97 written as f.95
Sinai Arabic 63,,Work,1201/1300,13th c.,338ff.,1034 g,codex,167 x 141 x 91.0 mm,Paper,Arabic,Sinai Arabic 63,6.1,NO 37 / 66AB / 171AB / 316AB,z_999 found at y_999 / y_999a / z_3a
Sinai Arabic 74,,Work,801/900,9th c.,255ff.,878.9 g,codex,171 x 134 x 100.0 mm,Parchment,Arabic,Sinai Arabic 74,6.1,38AB,
Sinai Arabic 82,,Work,1287,1287,246ff.,1377.9 g,codex,229 x 157 x 79.0 mm,Paper,Arabic,Sinai Arabic 82,6.1,145AB,
Sinai Arabic 115,,Work,1201/1300,13th c.,279ff.,958.8 g,codex,181 x 148 x 72.0 mm,Paper,Arabic,Sinai Arabic 115,6.1,,
Sinai Arabic 124,,Work,1201/1300,13th c.,236ff.,1136.2 g,codex,213 x 154 x 70.0 mm,Paper,Arabic;Greek,Sinai Arabic 124,6.1,17AB / 84AB / 222AB / No back board / 199verso till end Greek Lectionary with incomplete beginning,
Sinai Arabic 144,,Work,1054,1054,204ff.,843 g,codex,184 x 146 x 76.0 mm,Paper,Arabic,Sinai Arabic 144,6.1,,
Sinai Arabic 146,,Work,1201/1300,13th c.,56ff.,219.4 g,codex,211 x 149 x 16.0 mm,Paper,Arabic,Sinai Arabic 146,6.1,,y_999=f.57r
Sinai Arabic 152,,Work,1201/1300,13th c.,302ff.,572 g,codex,142 x 110 x 76.0 mm,Paper,Arabic,Sinai Arabic 152,6.1,NO 213 / No front cover,
Sinai Arabic 159,,Work,1199,1199,273ff.,1222.6 g,codex,215 x 157 x 85.0 mm,Paper,Arabic,Sinai Arabic 159,6.1,,
Sinai Arabic 160,,Work,1201/1300,13th c.,238ff.,1067.9 g,codex,212 x 152 x 71.0 mm,Paper,Arabic,Sinai Arabic 160,6.1,,
Sinai Arabic 168,,Work,1238,1238,506ff.,2046.2 g,codex,182 x 160 x 142.0 mm,Paper,Arabic,Sinai Arabic 168,6.1,,
Sinai Arabic 190,,Work,1201/1300,13th c.,223ff.,538.9 g,codex,147 x 121 x 79.0 mm,Paper,Arabic,Sinai Arabic 190,6.1,1A is detouched leaf with a decorative border at the top of the recto / 1AB / 215ABC,z_999
Sinai Arabic 220,,Work,1390,1390,215ff.,544.1 g,codex,145 x 107 x 74.0 mm,Paper,Arabic,Sinai Arabic 220,6.1,,
Sinai Arabic 221,,Work,1201/1300,13th c.,186ff.,521.5 g,codex,149 x 115 x 68.0 mm,Paper,Arabic,Sinai Arabic 221,6.1,Text on 1r upside down / manuscript text begins on 1v,
Sinai Arabic 228,,Work,1222,1222,208ff.,586.3 g,codex,163 x 124 x 62.0 mm,Paper,Arabic,Sinai Arabic 228,6.1,,
Sinai Arabic 230,,Work,1201/1300,13th c.,96ff.,681.4 g,codex,197 x 145 x 54.0 mm,Paper,Arabic,Sinai Arabic 230,6.1,46AB / 82AB,
Sinai Arabic 248,,Work,1201/1300,13th c.,197ff.,543.6 g,codex,150 x 122 x 68.0 mm,Paper,Arabic,Sinai Arabic 248,6.1,NO 2 / f.1-2=f.1,
Sinai Arabic 255,,Work,1201/1300,13th c.,179ff.,714.3 g,codex,176 x 135 x 80.0 mm,Paper,Arabic,Sinai Arabic 255,6.1,,
Sinai Arabic 261,,Work,1201/1300,13th c.,244ff.,612.9 g,codex,148 x 115 x 77.0 mm,Paper,Arabic,Sinai Arabic 261,6.1,1AB,
Sinai Arabic 297,,Work,1101/1200,12th c.,189ff.,762.7 g,codex,184 x 150 x 75.0 mm,Paper,Arabic,Sinai Arabic 297,6.1,,
Sinai Arabic 307,,Work,1438,1438,293ff.,1074.6 g,codex,180 x 138 x 84.0 mm,Paper,Arabic,Sinai Arabic 307,6.1,No front board / y_999a = back board variant / z_3a = fore edge variant,"manuscript includes various paper stocks, each with different color: some blond, some reddish, and others greenish."
Sinai Arabic 316,,Work,1101/1300,12th c.,267ff.,942.9 g,codex,181 x 142 x 80.0 mm,Paper,Arabic,Sinai Arabic 316,6.1,124AB,
Sinai Arabic 318,,Work,1226,1226,414ff.,1276.2 g,codex,182 x 141 x 96.0 mm,Paper,Arabic,Sinai Arabic 318,6.1,121AB,
Sinai Arabic 329,,Work,901/1000,10th c.,290ff.,1112.8 g,codex,171 x 147 x 96.0 mm,Paper,Arabic,Sinai Arabic 329,6.1,,
Sinai Arabic 330,,Work,1001/1100,11th c.,388ff.,1050.3 g,codex,170 x 148 x 98.0 mm,Paper,Arabic,Sinai Arabic 330,6.1,129AB / rodent damage,
Sinai Arabic 350,,Work,1201/1300,13th c.,269ff.,982.4 g,codex,180 x 140 x 74.0 mm,Paper,Arabic,Sinai Arabic 350,6.1,NO 129,
Sinai Arabic 361,,Work,1201/1300,13th c.,297ff.,1391.3 g,codex,224 x 180 x 88.0 mm,Paper,Arabic,Sinai Arabic 361,6.1,216AB / 253AB / some folios rodent damage,
Sinai Arabic 377,,Work,1252,1252,245ff.,1246.1 g,codex,218 x 163 x 74.0 mm,Paper,Arabic,Sinai Arabic 377,6.1,79AB / 153ab / no 154,
Sinai Arabic 388,,Work,1201/1300,13th c.,196ff.,461.9 g,codex,146 x 106 x 69.0 mm,Paper,Arabic,Sinai Arabic 388,6.1,89AB,
Sinai Arabic 389,,Work,1201/1300,13th c.,115ff.,197.1 g,codex,155 x 113 x 27.0 mm,Paper,Arabic;Coptic,Sinai Arabic 389,6.1,1AB,z_999
Sinai Arabic 426,,Work,1415,1415,67ff.,423.1 g,codex,194 x 151 x 37.0 mm,Paper,Arabic,Sinai Arabic 426,6.1,,b_000=f.1A / f_001r=f.1B / y_999=f.67
Sinai Arabic 445,,Work,1233,1233,461ff.,1366.7 g,codex,182 x 138 x 115.0 mm,Paper,Arabic,Sinai Arabic 445,6.1,165AB / 168AB / 193ABCDEFGHIJ / 321AB / 362AB,
Sinai Arabic 467,,Work,1201/1300,13th c.,251ff.,884 g,codex,182 x 143 x 85.0 mm,Paper,Arabic,Sinai Arabic 467,6.1,NO 235,
Sinai Arabic 471,,Work,1201/1300,13th c.,192ff.,638.3 g,codex,175 x 137 x 68.0 mm,Paper,Arabic,Sinai Arabic 471,6.1,NO 91 / NO 131 / front board broken in half,
Sinai Arabic 485,,Work,1201/1300,13th c.,216ff.,582.4 g,codex,170 x 134 x 58.0 mm,Paper,Arabic,Sinai Arabic 485,6.1,NO 199 / 1 blank stub b_001r -b_000,"decorative elements: 190r, v / f.198-199=198r"
Sinai Arabic 486,,Work,1201/1300,13th c.,161ff.,482.4 g,codex,144 x 119 x 65.0 mm,Paper,Arabic,Sinai Arabic 486,6.1,,
Sinai Arabic 531,,Work,1232,1232,352ff.,905.3 g,codex,159 x 127 x 104.0 mm,Paper,Arabic,Sinai Arabic 531,6.1,,
Sinai Arabic 540,,Work,1101/1200,12th c.,270ff.,623.6 g,codex,162 x 121 x 65.0 mm,Paper,Arabic,Sinai Arabic 540,6.1,No front board,
Sinai Arabic 545,,Work,901/1000,10th c.,444ff.,1649.6 g,codex,197 x 180 x 147.0 mm,Paper,Arabic,Sinai Arabic 545,6.1,53AB / 62AB / 436AB,
Sinai Arabic 559,,Work,1201/1300,13th c.,269ff.,1120.5 g,codex,193 x 153 x 85.0 mm,Paper,Arabic,Sinai Arabic 559,6.1,NO 47 / 95AB,
Sinai Arabic 586,,Work,1409,1409,152ff.,327.9 g,codex,141 x 93 x 58.0 mm,Paper,Arabic,Sinai Arabic 586,6.1,,
Sinai Arabic 590,,Work,1201/1300,13th c.,162ff.,767.6 g,codex,213 x 174 x 47.0 mm,Paper,Arabic,Sinai Arabic 590,6.1,,"b_001, b_002 palimpsest"
Sinai Arabic 600,,Work,1101/1300,12th c.,319ff.,641.2 g,codex,170 x 142 x 60.0 mm,Paper,Arabic,Sinai Arabic 600,6.1,No front board / No back board / 9AB / glued together: 17v-18r,
Sinai Arabic 620,,Work,1409,1409,155ff.,340.6 g,codex,160 x 113 x 39.0 mm,Paper,Arabic,Sinai Arabic 620,6.1,78AB / 105AB,
Sinai Arabic 673,,Work,1201/1300,13th c.,27ff.,38.2 g,codex,147 x 99 x 8.0 mm,Paper,Arabic,Sinai Arabic 673,6.1,No covers / Starts at f.2,
Sinai Arabic 675,,Work,1708,1708,208ff.,533.7 g,codex,170 x 128 x 58.0 mm,Paper,Arabic,Sinai Arabic 675,6.1,,
Sinai Arabic 681,,Work,1714,1714,238ff.,664.3 g,codex,161 x 119 x 62.0 mm,Paper,Arabic,Sinai Arabic 681,6.1,f.130-139 foliation repeats / No 131 in second foliation / NO 171 / f.183-185 foliation repeats,
Sinai Syriac 17,,Work,801/900,9th c.,165ff.,1482.9 g,codex,225 x 161 x 98.0 mm,Parchment,Syriac,Sinai Syriac 17,6.1,9AB,"f.150-154 palimpsest / f.164 double palimpsest / z_999r, v / z_998r, v / f. 144-147, 149 paper / f. 160v - 163v partly erased / decorative elements: 26v, 42r, 88r, 115r / review manuscript for palimpsests"
Sinai Syriac 42,,Work,1101/1200,12th c.,279ff.,917.1 g,codex,172 x 131 x 78.0 mm,Paper,Syriac,Sinai Syriac 42,6.1,160AB,"f.190-220, 226-241 parchment  / stub f_247_sr, _sv"
Sinai Syriac 64,,Work,1254,1254,159ff.,569.9 g,codex,163 x 122 x 75.0 mm,Parchment,Syriac,Sinai Syriac 64,6.1,137AB,palimpsest vertical lines
Sinai Syriac 91,,Work,1286,1286,316ff.,1456.6 g,codex,202 x 160 x 92.0 mm,Paper,Syriac,Sinai Syriac 91,6.1,f.254-255=255 / NO 254,
Sinai Syriac 102,,Work,1327,1327,190ff.,561.8 g,codex,164 x 127 x 55.0 mm,Paper,Syriac,Sinai Syriac 102,6.1,,
Sinai Syriac 103,,Work,1235,1235,200ff.,838.1 g,codex,181 x 146 x 75.0 mm,Paper,Syriac,Sinai Syriac 103,6.1,,decorative elements: 1v
Sinai Syriac 116,,Work,985,985,204ff.,871 g,codex,180 x 152 x 67.0 mm,Paper,Syriac,Sinai Syriac 116,6.1,1AB / 2AB / 13AB,
Sinai Syriac 130,,Work,1201/1300,13th c.,298ff.,1070.5 g,codex,174 x 152 x 86.0 mm,Paper,Syriac,Sinai Syriac 130,6.1,235AB,z_999 / z_998 / z_997 / z_996 / y_999a / b_000a / z_3a
Sinai Syriac 131,,Work,1242,1242,347ff.,1202.4 g,codex,177 x 136 x 91.0 mm,Paper,Syriac,Sinai Syriac 131,6.1,f.22-23=22 / NO 23,z_999
Sinai Syriac 138,,Work,1201/1300,13th c.,205ff.,819.6 g,codex,178 x 135 x 66.0 mm,Paper,Syriac,Sinai Syriac 138,6.1,85AB,
Sinai Syriac 139,,Work,1201/1300,13th c.,300ff.,940.5 g,codex,173 x 132 x 99.0 mm,Paper,Syriac,Sinai Syriac 139,6.1,,
Sinai Syriac 145,,Work,1188,1188,240ff.,962.5 g,codex,183 x 145 x 70.0 mm,Paper,Syriac,Sinai Syriac 145,6.1,,z_999
Sinai Syriac 149,,Work,1201/1300,13th c.,236ff.,849.9 g,codex,176 x 144 x 74.0 mm,Paper,Syriac,Sinai Syriac 149,6.1,,"stub f_143_sr, _sv"
Sinai Syriac 152,,Work,1201/1300,13th c.,223ff.,689.1 g,codex,153 x 119 x 76.0 mm,Paper,Syriac,Sinai Syriac 152,6.1,16AB,
Sinai Syriac 153,,Work,1201/1300,13th c.,256ff.,687.4 g,codex,149 x 120 x 80.0 mm,Paper,Syriac,Sinai Syriac 153,6.1,162AB,
Sinai Syriac 158,,Work,1275,1275,146ff.,529 g,codex,163 x 123 x 61.0 mm,Paper,Syriac,Sinai Syriac 158,6.1,"f.1=b_000 / f.1a=f_001r,v",
Sinai Syriac 159,,Work,1260,1260,232ff.,630.5 g,codex,152 x 116 x 72.0 mm,Paper,Syriac,Sinai Syriac 159,6.1,"1AB / glued together: 20v-21r, 35v-36r, 56v-57r, 66v-67r, 85v-86r, 127v-128r, 175v-176r, 190v-191r",
Sinai Syriac 160,,Work,1201/1300,13th c.,90ff.,401.9 g,codex,153 x 125 x 52.0 mm,Paper,Syriac,Sinai Syriac 160,6.1,65AB,
Sinai Syriac 165,,Work,1261,1261,256ff.,757.2 g,codex,161 x 126 x 95.0 mm,Paper,Syriac,Sinai Syriac 165,6.1,91AB,
Sinai Syriac 170,,Work,1201/1300,13th c.,284ff.,575 g,codex,144 x 114 x 70.0 mm,Paper,Syriac,Sinai Syriac 170,6.1,1AB / 80AB,
Sinai Syriac 175,,Work,1201/1300,13th c.,179ff.,547.2 g,codex,149 x 126 x 68.0 mm,Paper,Syriac,Sinai Syriac 175,6.1,,
Sinai Syriac 201,,Work,1201/1300,13th c.,246ff.,628.9 g,codex,144 x 114 x 78.0 mm,Paper,Syriac,Sinai Syriac 201,6.1,,
Sinai Syriac 226,,Work,1201/1300,13th c.,89ff.,236.1 g,codex,170 x 130 x 25.0 mm,Paper,Syriac,Sinai Syriac 226,6.1,61AB,
Sinai Syriac 228,,Work,1201/1300,13th c.,224ff.,675.3 g,codex,151 x 120 x 76.0 mm,Paper,Syriac,Sinai Syriac 228,6.1,,
Sinai Syriac 246,,Work,1201/1300,13th c.,25ff.,312.2 g,codex,195 x 148 x 30.0 mm,Paper,Syriac,Sinai Syriac 246,6.1,,
Sinai Syriac 253,,Work,1277,1277,263ff.,527.7 g,codex,143 x 116 x 79.0 mm,Paper,Syriac,Sinai Syriac 253,6.1,NO 88 / NO 184 / NO 251,
Sinai Syriac 255,,Work,1270,1270,67ff.,175.3 g,codex,142 x 121 x 32.0 mm,Paper,Syriac,Sinai Syriac 255,6.1,,"stub f_010_sr, _sv"
Sinai Syriac 260,,Work,1182,1182,131ff.,314.2 g,codex,166 x 136 x 38.0 mm,Paper,Syriac,Sinai Syriac 260,6.1,127AB,"stub f_100_sr, _sv, f_122_sr"
Sinai Syriac 261,,Work,1234,1234,256ff.,829.2 g,codex,179 x 140 x 68.0 mm,Paper,Syriac,Sinai Syriac 261,6.1,f.118-119 = f.118 / NO 119 / half back board is present,
Sinai Syriac 264,,Work,1201/1300,13th c.,101ff.,504.5 g,codex,172 x 135 x 54.0 mm,Paper,Syriac,Sinai Syriac 264,6.1,,
Sinai Syriac 273,,Work,1201/1300,13th c.,215ff.,664.4 g,codex,154 x 129 x 68.0 mm,Paper,Syriac,Sinai Syriac 273,6.1,28AB / 92AB / 110AB / 132AB,
Sinai Syriac 278,,Work,1201/1300,13th c.,33ff.,63.5 g,codex,160 x 116 x 14.0 mm,Paper,Syriac,Sinai Syriac 278,6.1,No covers,
